ID,SKU,"Item Name",Category,UOM,"Quantity On Hand (edit here)","Reorder Level (edit here)","Max Stock Level (edit here)"
900,71981,"COPERTURA BIANCO VANIGLA (WHITE CHOCOLATE COATING VANILLA) T01",,g,,,
899,71980,"COPERTURA FRAGOLA COUVERTURE",,g,1,,
892,71973,"ICED TEA LEMON FLAVOURED",,g,1,,
903,71984,"LEMON ICED TEA",,pcs,1,,
885,71966,"LEMON JUICE",,ml,1,,
884,71965,"LIME JUICE",,ml,1,,
887,71968,"MANGO FRUIT",,pcs,1,,
898,71979,"NOCCIOLA SELECTION PASTA",,g,1,,
894,71975,"PASTA CREMA BACI",,g,1,,
895,71976,"PASTA CREMA BACI (OK)",,g,,,
896,71977,"PASTA MANGO ALPHONSO",,g,,,
897,71978,"PASTA PANNA COTTA",,g,1,,
893,71974,"PEACH HEART",,cu,,,
875,69626,STRAWBERRY,,g,1,,
883,71964,"STRAWBERRY SYRUP",,ml,1,,
888,71969,"TINY STARS TOPPING",,spn,,,
904,71985,"VARIEGATURA NOCCIOLATA",,g,,,
16,68713,"2 DOORS DEEP FREEZER",asset,pcs,1,,
20,68718,"3DOORS DEEP FREEZER",asset,pcs,1000,,
21,68719,"4 DOORS REFRIGERATOR",asset,pcs,1000,,
25,68725,"ACRYLIC STAND",asset,pcs,1000,,
28,68735,"ALUMINIUM NON STICK MILK POT",asset,pcs,1000,,
839,68771,"BAY LEAVE",asset,g,1,100,
161,68935,"CHOCOLATE MELTING MACHINE",asset,pcs,1000,,
187,68978,"COMMERCIAL HEALTH BLENDER",asset,pcs,1000,,
211,69008,"CRAFT KNIFE",asset,pcs,1000,,
217,69021,"CRISPY WAFFLE MACHINE",asset,pcs,1000,,
226,69033,"CUTTER EMBOSSER",asset,pk,1000,,
234,69043,"DEEP FREEZER",asset,pcs,1000,,
249,69058,"DOUBLE DOOR FRIDGE",asset,pcs,1000,,
250,69059,"DOUBLE ESPRESSOR CERAMIC CUP",asset,pcs,1000,,
258,69073,"ELECTRIC DIFFUSER",asset,pcs,1000,,
277,69102,"FLY CATCHER",asset,pcs,1000,,
281,69110,"FOOD MIXER MACHINE",asset,pcs,1000,,
292,69123,"FROST MILK JUG",asset,pcs,1000,,
301,69134,"GAS BURNER MACHINE",asset,pcs,1000,,
302,69135,"GAS GRIDDLE (FLAT PLATE) MACHINE",asset,pcs,1000,,
303,69136,"GAS PIZZA OVEN",asset,pcs,1000,,
304,69137,"GAS RANGE WITH 4 BURNER WITH GAS OVEN",asset,pcs,1000,,
365,69233,"ICE CREAM PAN WITH COMPRESSOR",asset,pcs,1000,,
366,69235,"ICE CREAM SOFTSERVE MACHINE",asset,pcs,1000,,
614,69633,"ICE CRUSHER BLENDER",asset,pcs,1000,,
373,69245,"IMPULSE SEALER",asset,pcs,1000,,
841,69281,"KNOR MAGGI SEASONING (CHICKEN&BEEF)",asset,g,4000,1200,
422,69329,"MEASURING SCALE",asset,pcs,1000,,
427,69335,"MICKEY MOUSE WAFER MAKER",asset,pcs,1000,,
428,69336,"MICRO WAVE MACHINE",asset,pcs,1000,,
429,69337,"MICROWAVE OVEN SAFE",asset,pcs,1000,,
244,69053,"MINI DISPLAY CABINET",asset,pcs,1000,,
439,69353,"MODELING TOOLS",asset,pk,1000,,
442,69364,"MULTI-FUNCTION FILM SEALING MACHINE",asset,pcs,1000,,
451,69382,"OFFICE DIFFUCER",asset,pcs,1000,,
461,69394,"ORGANIC BREW TEA POT WARMER",asset,pcs,1000,,
462,69397,"OVEN GLOVE",asset,pcs,1000,,
482,69427,"PASTA GAS COOKER WITH CABINET",asset,pcs,1000,,
511,69473,"PLASTIC BUCKET FOR KITCHEN",asset,pcs,1000,,
556,69553,"SANTA PHONE",asset,pcs,1000,,
580,69587,"SMALL KITCHEN OVEN",asset,pcs,1000,,
581,69588,"SMALL OVEN",asset,pcs,1000,,
584,69593,"SOAP DISPENCER",asset,pcs,1000,,
594,69607,"SQUEEZE DISHER",asset,pcs,1000,,
600,69614,"STAINLESS BOWL",asset,pcs,1000,,
602,69617,"STAND MIXER",asset,pcs,1000,,
603,69618,"STANDS FOR OUTDOOR SERVICE",asset,pcs,1000,,
639,69676,"TOWEL WARMER",asset,pcs,1000,,
642,69681,"TRIPOD STAND",asset,pcs,1000,,
657,69751,UMBRELLA,asset,pcs,1000,,
676,69787,"VEGETABLE CUTTER MACHINE",asset,pcs,1000,,
679,69790,"VEGETABLE PEELER",asset,pcs,1000,,
683,69795,"WAFFLE CONE MACHINE",asset,pcs,1000,,
685,69797,"WAFLE BAKER MACHINE",asset,pcs,1000,,
691,69805,"WATER PUSHER",asset,pcs,1000,,
94,68837,"BRANDED TAKEOUT BAG BIG WITH HANDLE",bag,pcs,1000,,
59,68774,"BEEF FILLET",beef,g,1000,,
276,69100,"FLOUR & SUGAR BIN",bin,pcs,1000,,
687,69799,"WASTE BIN BUCKET",bin,pcs,1000,,
63,68783,"BIG TORTILLA BREAD",bread,pcs,1001,,
201,68995,"CORN TORTILLA",bread,g,1000,,
415,69317,"MARGARINE BUTTER (PASTRY)",butter,g,1001,,
421,69328,MAYONNAISE,butter,g,1001,,
432,69342,"PORTION BUTTER",butter,g,1000,,
530,69502,"PUFF PASTRY MARGARINE",butter,g,1000,,
658,69753,"UNSALTED BUTTER",butter,g,1001,,
731,70304,"SHORT SPARKLING CANDLE",cake,pcs,1000,,
223,69030,"CUP CAKE BOX (UNBRANDED)",cake_box,pcs,1000,,
222,69029,"CUP CAKE BOX OF 3",cake_box,pk,1000,,
44,68753,"BAKING POWDER",cake_ingredient,g,1000,,
45,68754,"BAKING SODA",cake_ingredient,g,1001,,
858,70556,"BOREHOLE WATER",cake_ingredient,cl,0,,
864,70630,"MACARON PRODUCTION (WIP)",cake_ingredient,pcs,0,,
75,68812,"BIRTHDAY TOPPER",cake_topper,g,1000,,
210,69005,"COTTON CANDY CONE",candy,pcs,1000,,
275,69099,"FLOSSY SUGAR (CANDY COTTON)",candy,spn,1000,,
440,69357,"MOZZARELLA CHEESE",cheese,g,1001,,
472,69410,"PARMESSAN CHEESE",cheese,g,1001,,
