ID,SKU,"Item Name",Category,UOM,"Unit Price (edit here)"
9,68705,"10 INCHES CAKE PAN",pastry,pcs,
12,68708,"12 INCHES CAKE BOX",packing_box,pcs,
14,68710,"14 INCHES CAKE BOX",packing_box,pcs,
16,68713,"2 DOORS DEEP FREEZER",asset,pcs,
20,68718,"3DOORS DEEP FREEZER",asset,pcs,
21,68719,"4 DOORS REFRIGERATOR",asset,pcs,
24,68724,"A-4 PAPER",consumable,pk,
25,68725,"ACRYLIC STAND",asset,pcs,
828,71141,"AHMAD LEMON & LIME TWISTED",raw_material,pcs,
26,68733,"AIR FRESHNER",consumable,btl,
28,68735,"ALUMINIUM NON STICK MILK POT",asset,pcs,
29,68736,"AMARENA BLACKCHERRY",gelato,g,
30,68737,"AMARENA BLACKCHERRY TOPPING (N01)",topping,g,
31,68738,"AMARENA SUPER FRUTTA BLACKCHERRY (E90)",gelato,g,
33,68740,"ANANAS 500 CP",gelato,g,
35,68743,"APPLE POWDER (L25)",gelato,g,
778,70732,"APRICOT JAM",raw_material,g,
36,68744,"ARACHIDI PEANUT",gelato,g,
834,71190,"BAGUETTE BREAD PACK",pack,pk,
39,68748,"BAGUETTE TRAY",dtray,pcs,
44,68753,"BAKING POWDER",cake_ingredient,g,
47,68756,"BAMBOO SKEWER (100PCS)",consumable,pk,
48,68759,"BAMBOO SKEWER (BBQ STCK)",consumable,pk,
49,68760,"BANANA BREAD NYLON",packing,pk,
50,68761,"BANANA BREAD PACK",packing,pcs,
53,68765,"BARCADI WHITE RUM",drink,ml,
56,68769,"BASE PAN",gelato,g,
57,68770,"BASIL LEAF",food_ingredient,g,
768,70718,BASKET,raw_material,pcs,
59,68774,"BEEF FILLET",beef,g,
61,68777,"BENTO BOX",packing_box,pcs,
62,68782,"BIG ICE CREAM CUP",packing,pcs,
69,68793,"BIGELOW GREEN TEA DECAFFEINATED",tea,pcs,
718,69901,"BIGELOW LAVENDER CHAMOMILE",tea,pcs,
72,68799,"BIGELOW LEMON AND GINGER TEA",tea,pcs,
759,70622,"BIRTHDAY CUTTER",raw_material,pk,
75,68812,"BIRTHDAY TOPPER",cake_topper,g,
76,68813,"BISCOFF SPREAD",gelato,g,
77,68814,"BISCOTTO BISCUIT (E49)",gelato,g,
82,68823,"BLUE CHERRY JAM",jam,g,
83,68824,"BLUE CREAM (E13)",gelato,g,
806,70848,"BOLD SMOKY",raw_material,g,
858,70556,"BOREHOLE WATER",cake_ingredient,cl,
88,68830,"BRANDED PAPER BAG",packing_bag,pcs,
89,68831,"BRANDED POP CORN PACK",packing_bag,pcs,
90,68832,"BRANDED SERVIETTE",consumable,pcs,
91,68833,"BRANDED SERVING TRAY",serve_ware,pcs,
92,68834,"BRANDED SUGAR (BROWN)",sugar,pcs,
93,68835,"BRANDED SUGAR (WHITE)",sugar,pcs,
