"recipe_id","recipe","category","sub_category","quantity","quantity_unit","price","unit_price","unit_cost_raw","ingredients"
"1150","CHRISTMAS CHOCOLATE MOUSSE CAKE (69993)","","","16.00","PCS","₦ 16,179.42","₦ 1,011.21","1011.2138","WHITE FLOUR (69815) (qty:223.3300 G 0.0000% | cost:) | GRANULATED SUGAR (68701) (qty:402.0000 G 0.0000% | cost:) | BAKING SODA (68754) (qty:6.0000 G 0.0000% | cost:) | SALT (69547) (qty:3.0000 G 0.0000% | cost:) | EGG (69070) (qty:4.0000 PCS 0.0000% | cost:) | UHT MILK (69749) (qty:333.3300 G 0.0000% | cost:) | WHITE VINEGAR (69820) (qty:9.0000 ML 0.0000% | cost:) | VANILLA EXTRACT (69763) (qty:6.0000 G 0.0000% | cost:) | VEGETABLE OIL (69789) (qty:178.6600 ML 0.0000% | cost:) | COCOA POWDER (68961) (qty:104.3300 G 0.0000% | cost:) | CHOCOLATE MOUSSE (70581) (qty:1680.0000 G 0.0000% | cost:)"
"1080","CHOCOLATE SPONGE CAKE SLICE (69999)","","","18.00","PCS","₦ 14,815.82","₦ 823.10","823.10111111111","WHITE FLOUR (69815) (qty:670.0000 G 0.0000% | cost:) | GRANULATED SUGAR (68701) (qty:120.0000 G 0.0000% | cost:) | SALT (69547) (qty:9.0000 G 0.0000% | cost:) | WHITE VINEGAR (69820) (qty:18.0000 ML 0.0000% | cost:) | VANILLA EXTRACT (69763) (qty:18.0000 G 0.0000% | cost:) | VEGETABLE OIL (69789) (qty:536.0000 ML 0.0000% | cost:) | BUTTER CREAM (WIP) (70542) (qty:313.0000 G 0.0000% | cost:) | BAKING SODA (68754) (qty:18.0000 G 0.0000% | cost:) | COCOA POWDER (68961) (qty:313.0000 G 0.0000% | cost:) | BUTTER MILK (WIP) (70544) (qty:1000.0000 G 0.0000% | cost:)"
"1182","CHOCOLATE SAUCE PRODUCTION (70602)","WORK-IN-PROGRESS","","200.00","G","₦ 2,134.00","₦ 10.67","10.67","CHOCOLATE GLAZE (70445) (qty:200.0000 G 0.0000% | cost:)"
"986","CHOCOLATE OREO DOUGHNUT (69995)","DOUGHNUT","","51.00","PCS","₦ 6,675.80","₦ 130.90","130.89803921569","GRANULATED SUGAR (68701) (qty:400.0000 G 0.0000% | cost:) | MARGARINE BUTTER (PASTRY) (69317) (qty:200.0000 G 0.0000% | cost:) | SALT (69547) (qty:40.0000 G 0.0000% | cost:) | YEAST (69833) (qty:70.0000 G 0.0000% | cost:) | WHITE FLOUR (69815) (qty:2000.0000 G 0.0000% | cost:) | POWDERED MILK (69494) (qty:200.0000 G 0.0000% | cost:) | OREO POWDER (68967) (qty:190.0000 G 0.0000% | cost:) | egg production (70580) (qty:100.0000 G 0.0000% | cost:) | DOUGHNUT GLAZE (WIP) (70549) (qty:100.0000 G 0.0000% | cost:)"
"991","CHOCOLATE NUTELLA CROISSANT (69994)","CROISSANT","","36.00","PCS","₦ 32,107.66","₦ 891.88","891.87944444444","GRANULATED SUGAR (68701) (qty:230.0000 G 0.0000% | cost:) | UNSALTED BUTTER (69753) (qty:900.0000 G 0.0000% | cost:) | YEAST (69833) (qty:42.0000 G 0.0000% | cost:) | SALT (69547) (qty:36.0000 G 0.0000% | cost:) | HAZELNUT SPREAD (69219) (qty:144.0000 G 0.0000% | cost:) | POWDERED MILK (69494) (qty:60.0000 G 0.0000% | cost:) | WHITE FLOUR (69815) (qty:1875.0000 G 0.0000% | cost:)"
"1274","CHOCOLATE MOUSSE CAKE (70974)","PASTRY","","1.00","PCS","₦ 803.40","₦ 803.40","803.4","CHOCOLATE MOUSSE (70581) (qty:130.0000 G 0.0000% | cost:)"
"1167","CHOCOLATE MOUSSE (70581)","WIP","","2,240.00","G","₦ 19,367.50","₦ 8.65","8.6462053571429","DARK CHOCOLATE BLOCK (68928) (qty:700.0000 G 0.0000% | cost:) | EGG (69070) (qty:7.0000 PCS 0.0000% | cost:) | WHIPPING CREAM (69807) (qty:1000.0000 G 0.0000% | cost:) | GRANULATED SUGAR (68701) (qty:150.0000 G 0.0000% | cost:)"
"985","CHOCOLATE GLAZED DOUGHNUT (69992)","DOUGHNUT","","51.00","PCS","₦ 7,074.00","₦ 138.71","138.70588235294","GRANULATED SUGAR (68701) (qty:400.0000 G 0.0000% | cost:) | MARGARINE BUTTER (PASTRY) (69317) (qty:200.0000 G 0.0000% | cost:) | SALT (69547) (qty:40.0000 G 0.0000% | cost:) | YEAST (69833) (qty:70.0000 G 0.0000% | cost:) | CHOCOLATE GLAZE (70445) (qty:100.0000 G 0.0000% | cost:) | WHITE FLOUR (69815) (qty:2000.0000 G 0.0000% | cost:) | POWDERED MILK (69494) (qty:200.0000 G 0.0000% | cost:) | egg production (70580) (qty:100.0000 G 0.0000% | cost:)"
"1189","CHOCOLATE GLAZE (70445)","ICE CREAM","","1,580.00","G","₦ 27,670.00","₦ 17.51","17.512658227848","DARK CHOCOLATE BLOCK (68928) (qty:600.0000 G 0.0000% | cost:) | BOREHOLE WATER (70556) (qty:200.0000 G 0.0000% | cost:) | GRANULATED SUGAR (68701) (qty:60.0000 G 0.0000% | cost:) | WHIPPING CREAM (69807) (qty:300.0000 G 0.0000% | cost:) | GLUCOSE (69156) (qty:120.0000 G 0.0000% | cost:) | HAZELNUT SPREAD (69219) (qty:300.0000 G 0.0000% | cost:)"
"970","CHOCOLATE FUDGE AND CARAMEL (69991)","ICE CREAM","","1,235.00","PCS","₦ 41,780.25","₦ 33.83","33.83016194332","PASTA CARAMEL (69420) (qty:80.0000 G 0.0000% | cost:) | BASE ALBA (68768) (qty:1000.0000 G 0.0000% | cost:) | PASTA CREMA CACAO (69423) (qty:80.0000 G 0.0000% | cost:) | CHOCOLATE GLAZE (70445) (qty:75.0000 G 0.0000% | cost:) | SMALL ICE CREAM CUP (69586) (qty:10.0000 PCS 0.0000% | cost:) | TESTER SPOON (69653) (qty:10.0000 PKS 0.0000% | cost:)"
"1350","CHOCOLATE CUPCAKE (70776)","Cupcake","","1.00","PCS","₦ 14,815.82","₦ 14,815.82","14815.82","WHITE FLOUR (69815) (qty:670.0000 G 0.0000% | cost:) | GRANULATED SUGAR (68701) (qty:120.0000 G 0.0000% | cost:) | SALT (69547) (qty:9.0000 G 0.0000% | cost:) | WHITE VINEGAR (69820) (qty:18.0000 ML 0.0000% | cost:) | VANILLA EXTRACT (69763) (qty:18.0000 G 0.0000% | cost:) | VEGETABLE OIL (69789) (qty:536.0000 ML 0.0000% | cost:) | BUTTER CREAM (WIP) (70542) (qty:313.0000 G 0.0000% | cost:) | BAKING SODA (68754) (qty:18.0000 G 0.0000% | cost:) | COCOA POWDER (68961) (qty:313.0000 G 0.0000% | cost:) | BUTTER MILK (WIP) (70544) (qty:1000.0000 G 0.0000% | cost:)"
